bgg_id,community,name,overall_rank
224517,7,Brass: Birmingham,1
342942,24,Ark Nova,2
161936,4,Pandemic Legacy: Season 1,3
174430,12,Gloomhaven,4
397598,19,Dune: Imperium – Uprising,5
316554,16,Dune: Imperium,6
233078,9,Twilight Imperium: Fourth Edition,7
115746,20,War of the Ring: Second Edition,8
167791,0,Terraforming Mars,9
187645,9,Star Wars: Rebellion,10
162886,12,Spirit Island,11
291457,12,Gloomhaven: Jaws of the Lion,12
220308,2,Gaia Project,13
12333,20,Twilight Struggle,14
84876,42,The Castles of Burgundy,15
418059,2,SETI: Search for Extraterrestrial Intelligence,16
338960,12,Slay the Spire: The Board Game,17
182028,8,Through the Ages: A New Story of Civilization,18
193738,8,Great Western Trail,19
421006,19,The Lord of the Rings: Duel for Middle-earth,20
295770,12,Frosthaven,21
246900,5,Eclipse: Second Dawn for the Galaxy,22
28720,20,Brass: Lancashire,23
173346,33,7 Wonders Duel,24
167355,12,Nemesis,25
169786,3,Scythe,26
177736,2,A Feast for Odin,27
266507,4,Clank! Legacy: Acquisitions Incorporated,28
124361,22,Concordia,29
312484,1,Lost Ruins of Arnak,30
341169,2,Great Western Trail: Second Edition,31
205637,12,Arkham Horror: The Card Game,32
373106,19,Sky Team,33
237182,5,Root,34
120677,8,Terra Mystica,35
164928,8,Orléans,36
192135,12,Too Many Bones,37
266192,34,Wingspan,38
96848,9,Mage Knight Board Game,39
251247,2,Barrage,40
321608,2,Hegemony: Lead Your Class to Victory,41
199792,23,Everdell,42
324856,35,The Crew: Mission Deep Sea,43
183394,21,Viticulture Essential Edition,44
284378,2,Kanban EV,45
521,35,Crokinole,46
366013,19,Heat: Pedal to the Metal,47
285774,12,Marvel Champions: The Card Game,48
175914,20,Food Chain Magnate,49
247763,2,Underwater Cities,50
390092,4,Ticket to Ride Legacy: Legends of the West,51
365717,19,Clank!: Catacombs,52
256960,20,Pax Pamir: Second Edition,53
253344,12,Cthulhu: Death May Die,54
3076,10,Puerto Rico,55
383179,2,Age of Innovation,56
414317,19,Harmonies,57
184267,2,On Mars,58
314040,4,Pandemic Legacy: Season 0,59
295947,13,Cascadia,60
185343,2,Anachrony,61
102794,8,Caverna: The Cave Farmers,62
251661,12,Oathsworn: Into the Deepwood,63
31260,10,Agricola,64
170216,9,Blood Rage,65
231733,2,Obsession,66
182874,2,Grand Austria Hotel,67
240980,35,Blood on the Clocktower,68
161533,2,Lisboa,69
221107,4,Pandemic Legacy: Season 2,70
255984,12,Sleeping Gods,71
371942,2,The White Castle,72
126163,8,Tzolk'in: The Mayan Calendar,73
2651,10,Power Grid,74
205059,9,Mansions of Madness: Second Edition,75
216132,2,Clans of Caledonia,76
380607,2,Great Western Trail: New Zealand,77
244521,6,Quacks,78
266810,2,Paladins of the West Kingdom,79
35677,8,Le Havre,80
125153,2,The Gallerist,81
124742,9,Android: Netrunner,82
164153,9,Star Wars: Imperial Assault,83
367966,19,Endeavor: Deep Sea,84
200680,7,Agricola (Revised Edition),85
337627,2,Voidfall,86
276025,2,Maracaibo,87
366161,13,Wingspan Asia,88
322289,2,Darwin's Journey,89
209010,12,Mechs vs. Minions,90
