level_0,level_1,seed,n_communities,modularity,representative,median_pairwise_nmi,seed_i,seed_j,nmi
runs,0,0.0,44.0,0.07563849033701982,False,0.7576217739487745,,,
runs,1,1.0,44.0,0.07538674762387737,False,0.7576217739487745,,,
runs,2,2.0,45.0,0.07592666634360726,False,0.7576217739487745,,,
runs,3,3.0,46.0,0.07645632804227008,False,0.7576217739487745,,,
runs,4,4.0,43.0,0.07595591150698065,False,0.7576217739487745,,,
runs,5,5.0,44.0,0.07594400035359361,False,0.7576217739487745,,,
runs,6,6.0,46.0,0.07593267129891079,False,0.7576217739487745,,,
runs,7,7.0,44.0,0.07297825363382807,False,0.7576217739487745,,,
runs,8,8.0,44.0,0.07582979188391309,False,0.7576217739487745,,,
runs,9,9.0,46.0,0.07580474179927253,False,0.7576217739487745,,,
runs,10,10.0,45.0,0.07394615872901113,False,0.7576217739487745,,,
runs,11,11.0,46.0,0.07581081290059434,False,0.7576217739487745,,,
runs,12,12.0,43.0,0.07667065003628656,True,0.7576217739487745,,,
runs,13,13.0,47.0,0.07661697520799661,False,0.7576217739487745,,,
runs,14,14.0,45.0,0.076456117116158,False,0.7576217739487745,,,
runs,15,15.0,44.0,0.07483939456537708,False,0.7576217739487745,,,
runs,16,16.0,46.0,0.07546505897269656,False,0.7576217739487745,,,
runs,17,17.0,46.0,0.07664317657118255,False,0.7576217739487745,,,
runs,18,18.0,45.0,0.076369017951288,False,0.7576217739487745,,,
runs,19,19.0,44.0,0.0751518310041794,False,0.7576217739487745,,,
pairwise,0,,,,,,0.0,1.0,0.7067017247253284
pairwise,1,,,,,,0.0,2.0,0.7465307838441725
pairwise,2,,,,,,0.0,3.0,0.750396674166109
pairwise,3,,,,,,0.0,4.0,0.807585439932179
pairwise,4,,,,,,0.0,5.0,0.7856497690812778
pairwise,5,,,,,,0.0,6.0,0.7580275951905507
pairwise,6,,,,,,0.0,7.0,0.7103427129558482
pairwise,7,,,,,,0.0,8.0,0.7950852785216467
pairwise,8,,,,,,0.0,9.0,0.7712969473438863
pairwise,9,,,,,,0.0,10.0,0.7144763968838747
pairwise,10,,,,,,0.0,11.0,0.7287335521801941
pairwise,11,,,,,,0.0,12.0,0.7833423442456136
pairwise,12,,,,,,0.0,13.0,0.7937202460670867
pairwise,13,,,,,,0.0,14.0,0.7572159527069984
pairwise,14,,,,,,0.0,15.0,0.7377960335321927
pairwise,15,,,,,,0.0,16.0,0.7408525555541359
pairwise,16,,,,,,0.0,17.0,0.7725661322455459
pairwise,17,,,,,,0.0,18.0,0.7774105993280997
