replicate,gamma,null_modularity,null_n_communities,requested_swaps,swaps_per_edge,replicate_elapsed_seconds
0,0.75,0.25,1,214379,1.0,57.306
0,1.0,0.08199896117518192,21,214379,1.0,62.808
0,1.25,0.07424936722836861,59,214379,1.0,68.006
0,1.5,0.07048658480392737,90,214379,1.0,73.942
0,1.75,0.06760188817642579,113,214379,1.0,79.56
0,2.0,0.06529019836170248,127,214379,1.0,85.151
1,0.75,0.25,1,214379,1.0,52.746
1,1.0,0.08301677873373096,19,214379,1.0,58.63
1,1.25,0.07468610301919011,59,214379,1.0,63.087
1,1.5,0.07085826716613661,88,214379,1.0,69.683
1,1.75,0.06791760310901208,115,214379,1.0,76.991
1,2.0,0.06556826235971658,128,214379,1.0,86.992
2,0.75,0.25,1,214379,1.0,99.715
2,1.0,0.08336656855666558,20,214379,1.0,108.01
2,1.25,0.07515592562209723,60,214379,1.0,115.307
2,1.5,0.07137580177671862,86,214379,1.0,124.74
2,1.75,0.06815140211572003,114,214379,1.0,133.086
2,2.0,0.06595328414634347,128,214379,1.0,141.787
3,0.75,0.25,1,214379,1.0,105.067
3,1.0,0.08224947131866923,21,214379,1.0,115.14
3,1.25,0.07415334962160816,58,214379,1.0,126.137
3,1.5,0.07023443164596428,87,214379,1.0,135.643
3,1.75,0.06744581501532883,113,214379,1.0,146.029
3,2.0,0.06511838069453216,125,214379,1.0,156.276
4,0.75,0.25,1,214379,1.0,95.196
4,1.0,0.08264337009091083,19,214379,1.0,103.923
4,1.25,0.07442210595038364,59,214379,1.0,113.436
4,1.5,0.07054784827989415,87,214379,1.0,123.008
4,1.75,0.0676421334060058,110,214379,1.0,132.928
4,2.0,0.06524960153719032,126,214379,1.0,144.051
5,0.75,0.25,1,214379,1.0,101.198
5,1.0,0.08392643136707413,19,214379,1.0,110.47
5,1.25,0.07492261107853722,59,214379,1.0,120.239
5,1.5,0.0708605648808914,84,214379,1.0,126.51
5,1.75,0.06792365715026857,106,214379,1.0,135.802
5,2.0,0.06554408564174963,132,214379,1.0,145.047
6,0.75,0.25,1,214379,1.0,97.561
6,1.0,0.08341145947608739,18,214379,1.0,107.47
6,1.25,0.07485876256050938,59,214379,1.0,117.996
6,1.5,0.07106910981857346,91,214379,1.0,127.329
6,1.75,0.06822122016782033,111,214379,1.0,136.137
