bgg_id,name,overall_rank,col
224517,Brass: Birmingham,1,0
342942,Ark Nova,2,1
161936,Pandemic Legacy: Season 1,3,2
174430,Gloomhaven,4,3
397598,Dune: Imperium – Uprising,5,4
316554,Dune: Imperium,6,5
233078,Twilight Imperium: Fourth Edition,7,6
115746,War of the Ring: Second Edition,8,7
167791,Terraforming Mars,9,8
187645,Star Wars: Rebellion,10,9
162886,Spirit Island,11,10
291457,Gloomhaven: Jaws of the Lion,12,11
220308,Gaia Project,13,12
12333,Twilight Struggle,14,13
84876,The Castles of Burgundy,15,14
418059,SETI: Search for Extraterrestrial Intelligence,16,15
338960,Slay the Spire: The Board Game,17,16
182028,Through the Ages: A New Story of Civilization,18,17
193738,Great Western Trail,19,18
421006,The Lord of the Rings: Duel for Middle-earth,20,19
295770,Frosthaven,21,20
246900,Eclipse: Second Dawn for the Galaxy,22,21
28720,Brass: Lancashire,23,22
173346,7 Wonders Duel,24,23
167355,Nemesis,25,24
169786,Scythe,26,25
177736,A Feast for Odin,27,26
266507,Clank! Legacy: Acquisitions Incorporated,28,27
124361,Concordia,29,28
312484,Lost Ruins of Arnak,30,29
341169,Great Western Trail: Second Edition,31,30
205637,Arkham Horror: The Card Game,32,31
373106,Sky Team,33,32
237182,Root,34,33
120677,Terra Mystica,35,34
164928,Orléans,36,35
192135,Too Many Bones,37,36
266192,Wingspan,38,37
96848,Mage Knight Board Game,39,38
251247,Barrage,40,39
321608,Hegemony: Lead Your Class to Victory,41,40
199792,Everdell,42,41
324856,The Crew: Mission Deep Sea,43,42
183394,Viticulture Essential Edition,44,43
284378,Kanban EV,45,44
521,Crokinole,46,45
366013,Heat: Pedal to the Metal,47,46
285774,Marvel Champions: The Card Game,48,47
175914,Food Chain Magnate,49,48
247763,Underwater Cities,50,49
390092,Ticket to Ride Legacy: Legends of the West,51,50
365717,Clank!: Catacombs,52,51
256960,Pax Pamir: Second Edition,53,52
253344,Cthulhu: Death May Die,54,53
3076,Puerto Rico,55,54
383179,Age of Innovation,56,55
414317,Harmonies,57,56
184267,On Mars,58,57
314040,Pandemic Legacy: Season 0,59,58
295947,Cascadia,60,59
185343,Anachrony,61,60
102794,Caverna: The Cave Farmers,62,61
251661,Oathsworn: Into the Deepwood,63,62
31260,Agricola,64,63
170216,Blood Rage,65,64
231733,Obsession,66,65
182874,Grand Austria Hotel,67,66
240980,Blood on the Clocktower,68,67
161533,Lisboa,69,68
221107,Pandemic Legacy: Season 2,70,69
255984,Sleeping Gods,71,70
371942,The White Castle,72,71
126163,Tzolk'in: The Mayan Calendar,73,72
2651,Power Grid,74,73
205059,Mansions of Madness: Second Edition,75,74
216132,Clans of Caledonia,76,75
380607,Great Western Trail: New Zealand,77,76
244521,Quacks,78,77
266810,Paladins of the West Kingdom,79,78
35677,Le Havre,80,79
125153,The Gallerist,81,80
124742,Android: Netrunner,82,81
164153,Star Wars: Imperial Assault,83,82
367966,Endeavor: Deep Sea,84,83
200680,Agricola (Revised Edition),85,84
337627,Voidfall,86,85
276025,Maracaibo,87,86
366161,Wingspan Asia,88,87
322289,Darwin's Journey,89,88
209010,Mechs vs. Minions,90,89
332772,Revive,91,90
284083,The Crew: The Quest for Planet Nine,92,91
28143,Race for the Galaxy,93,92
55690,Kingdom Death: Monster,94,93
157354,Five Tribes: The Djinns of Naqala,95,94
230802,Azul,96,95
277659,Final Girl,97,96
201808,Clank!: A Deck-Building Adventure,98,97
159675,Fields of Arle,99,98
93,El Grande,100,99
413246,Bomb Busters,101,100
72125,Eclipse: New Dawn for the Galaxy,102,101
359871,Arcs,103,102
256916,Concordia Venus,104,103
291453,SCOUT,105,104
110327,Lords of Waterdeep,106,105
191189,Aeon's End,107,106
436217,The Lord of the Rings: Fate of the Fellowship,108,107
229853,Teotihuacan: City of Gods,109,108
359609,Arkham Horror: The Card Game (Revised Core Set),110,109
317985,Beyond the Sun,111,110
364073,Splendor Duel,112,111
62219,Dominant Species,113,112
279537,The Search for Planet X,114,113
12,Ra,115,114
68448,7 Wonders,116,115
225694,Decrypto,117,116
25613,Through the Ages: A Story of Civilization,118,117
121921,Robinson Crusoe: Adventures on the Cursed Island,119,118
171623,The Voyages of Marco Polo,120,119
163068,Trickerion: Legends of Illusion,121,120
217372,The Quest for El Dorado,122,121
410201,Wyrmspan,123,122
155821,Inis,124,123
37111,Battlestar Galactica: The Board Game,125,124
391137,Galactic Cruise,126,125
310873,Carnegie,127,126
271055,Dwellings of Eldervale,128,127
310100,Nemesis: Lockdown,129,128
236457,Architects of the West Kingdom,130,129
42,Tigris & Euphrates,131,130
40834,Dominion: Intrigue,132,131
122515,Keyflower,133,132
170042,Raiders of the North Sea,134,133
227935,Wonderland's War,135,134
264220,Tainted Grail: The Fall of Avalon,136,135
146021,Eldritch Horror,137,136
18602,Caylus,138,137
4098,Age of Steam,139,138
73439,Troyes,140,139
203993,Lorenzo il Magnifico,141,140
269385,The Lord of the Rings: Journeys in Middle-Earth,142,141
396790,Nucleum,143,142
172386,Mombasa,144,143
36218,Dominion,145,144
163412,Patchwork,146,145
43015,Hansa Teutonica,147,146
102680,Trajan,148,147
218417,Aeon's End: War Eternal,149,148
12493,Twilight Imperium: Third Edition,150,149
144733,Russian Railroads,151,150
391163,Forest Shuffle,152,151
205896,Rising Sun,153,152
175640,Vinhos: Deluxe Edition,154,153
196340,Yokohama,155,154
254640,Just One,156,155
175155,Forbidden Stars,157,156
325494,ISS Vanguard,158,157
429293,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game,159,158
198928,Iberia,160,159
178900,Codenames,161,160
233371,Clank! In! Space!: A Deck-Building Adventure,162,161
180263,The 7th Continent,163,162
189932,Tyrants of the Underdark,164,163
172287,Champions of Midgard,165,164
220877,Rajas of the Ganges,166,165
463,Magic: The Gathering,167,166
258779,Planet Unknown,168,167
304783,Hadrian's Wall,169,168
30549,Pandemic,170,169
132531,Roll for the Galaxy,171,170
235802,Too Many Bones: Undertow,172,171
118048,Targi,173,172
147020,Star Realms,174,173
266524,PARKS,175,174
209418,Dominion: Second Edition,176,175
161970,Alchemists,177,176
14996,Ticket to Ride: Europe,178,177
263918,Cartographers,179,178
268864,Undaunted: Normandy,180,179
249259,War Chest,181,180
262712,Res Arcana,182,181
358661,Andromeda's Edge,183,182
271324,It's a Wonderful World,184,183
77423,The Lord of the Rings: The Card Game,185,184
274364,Watergate,186,185
400602,Civolution,187,186
34635,Stone Age,188,187
328871,Terraforming Mars: Ares Expedition,189,188
148949,Istanbul,190,189
294484,Unmatched: Cobble & Fog,191,190
308765,Praga Caput Regni,192,191
281259,The Isle of Cats,193,192
271896,Star Wars: Outer Rim,194,193
82222,Xia: Legends of a Drift System,195,194
296151,Viscounts of the West Kingdom,196,195
146652,Legendary Encounters: An Alien Deck Building Game,197,196
364011,Great Western Trail: Argentina,198,197
127023,Kemet,199,198
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,200,199
54043,Jaipur,201,200
283948,Marco Polo II: In the Service of the Khan,202,201
103885,Star Wars: X-Wing Miniatures Game,203,202
265188,Glen More II: Chronicles,204,203
244522,That's Pretty Clever!,205,204
233398,Endeavor: Age of Sail,206,205
316377,7 Wonders (Second Edition),207,206
329082,Radlands,208,207
350184,Earth,209,208
233867,Welcome To...,210,209
283355,Dune,211,210
339789,Welcome to the Moon,212,211
188920,This War of Mine: The Board Game,213,212
420033,Vantage,214,213
43111,Chaos in the Old World,215,214
314491,Meadow,216,215
332686,John Company: Second Edition,217,216
9609,War of the Ring,218,217
10630,Memoir '44,219,218
374173,Star Wars: The Deckbuilding Game,220,219
118,Modern Art,221,220
227224,The Red Cathedral,222,221
199561,Sagrada,223,222
242302,Space Base,224,223
256680,Return to Dark Tower,225,224
104162,Descent: Journeys in the Dark (Second Edition),226,225
342070,Thunder Road: Vendetta,227,226
39463,Cosmic Encounter,228,227
25021,Sekigahara: The Unification of Japan,229,228
299659,Clash of Cultures: Monumental Edition,230,229
416851,Castle Combo,231,230
155426,Castles of Mad King Ludwig,232,231
356080,The Elder Scrolls: Betrayal of the Second Era,233,232
300531,Paleo,234,233
188,Go,235,234
128882,The Resistance: Avalon,236,235
103343,A Game of Thrones: The Board Game (Second Edition),237,236
31627,Ticket to Ride: Nordic Countries,238,237
822,Carcassonne,239,238
287954,Azul: Summer Pavilion,240,239
282524,Horrified,241,240
17133,Railways of the World,242,241
148228,Splendor,243,242
70149,Ora et Labora,244,243
171131,Captain Sonar,245,244
104006,Village,246,245
123260,Suburbia,247,246
215,Tichu,248,247
