community,tag_kind,tag,observed,community_size,tag_total,expected,fold_enrichment,p_value,rank_in_community_kind
0,category,Science Fiction,3,6,309,0.7416,4.0453074433656955,0.028094438318863844,1.0
0,category,Economic,2,6,380,0.912,2.1929824561403506,0.2281093113558679,2.0
0,category,Card Game,2,6,726,1.7424,1.1478420569329661,0.559047695065046,3.0
0,mechanic,"Worker Placement, Different Worker Types",2,6,73,0.1752,11.415525114155251,0.011692692788832984,1.0
0,mechanic,Take That,3,6,238,0.5712,5.2521008403361344,0.013711056873307795,2.0
0,mechanic,Worker Placement,3,6,311,0.7464,4.019292604501608,0.028589323557117536,3.0
0,mechanic,Events,2,6,140,0.336,5.952380952380952,0.04025224791072403,4.0
0,mechanic,Variable Set-up,2,6,339,0.8136,2.4582104228121926,0.19007576077268404,5.0
0,mechanic,Tile Placement,2,6,369,0.8856,2.2583559168925023,0.21776870763435616,6.0
0,mechanic,Set Collection,2,6,550,1.32,1.5151515151515151,0.39374223957727655,7.0
0,mechanic,Variable Player Powers,2,6,711,1.7064,1.1720581340834506,0.5456975436105322,8.0
0,mechanic,Dice Rolling,2,6,722,1.7328,1.154201292705448,0.5555044526225819,9.0
0,mechanic,Hand Management,2,6,895,2.148,0.9310986964618249,0.6960044875467346,10.0
1,category,Movies / TV / Radio theme,3,10,92,0.368,8.152173913043478,0.004796958870915359,1.0
1,category,Card Game,6,10,726,2.904,2.066115702479339,0.04034141974114329,2.0
1,category,Horror,2,10,125,0.5,4.0,0.0858084038408635,3.0
1,category,Science Fiction,3,10,309,1.236,2.4271844660194173,0.11603809947766378,4.0
1,category,Fantasy,4,10,546,2.184,1.8315018315018314,0.1550525551436887,5.0
1,category,Exploration,2,10,246,0.984,2.032520325203252,0.2576189939730865,6.0
1,category,Adventure,2,10,253,1.012,1.976284584980237,0.26848328524884785,7.0
1,mechanic,Narrative Choice / Paragraph,2,10,58,0.232,8.620689655172413,0.021124664339842367,1.0
1,mechanic,"Worker Placement, Different Worker Types",2,10,73,0.292,6.849315068493151,0.03252363015325428,2.0
1,mechanic,Turn Order: Progressive,2,10,90,0.36,5.555555555555555,0.04779377713584332,3.0
1,mechanic,Storytelling,2,10,104,0.416,4.8076923076923075,0.062028722072006465,4.0
1,mechanic,Hand Management,6,10,895,3.58,1.675977653631285,0.1042450986500976,5.0
1,mechanic,Events,2,10,140,0.56,3.571428571428571,0.1043271155033096,6.0
1,mechanic,Set Collection,4,10,550,2.2,1.8181818181818181,0.15826180783188165,7.0
1,mechanic,Take That,2,10,238,0.952,2.100840336134454,0.24525139710340588,8.0
1,mechanic,Worker Placement,2,10,311,1.244,1.607717041800643,0.3588745019241747,9.0
1,mechanic,End Game Bonuses,2,10,312,1.248,1.6025641025641026,0.3604241907956798,10.0
1,mechanic,Open Drafting,3,10,546,2.184,1.3736263736263736,0.3782019501919647,11.0
1,mechanic,Solo / Solitaire Game,3,10,565,2.26,1.3274336283185841,0.40150477868341244,12.0
