bgg_id,name,overall_rank,community,manual_label,community_type,average_rating,average_weight,owned,year_published,degree,weighted_degree_strength,betweenness,weighted_clustering,degree_rank,strength_rank,betweenness_rank
224517,Brass: Birmingham,1,7,,tiny_fragment,8.56572,3.8632,83197,2018,2182,1727.6159945949912,0.04831865492393915,0.006609012357376244,16,12,11
342942,Ark Nova,2,24,Ark Nova universal-appeal micro-cluster,bridge_singleton,8.54109,3.7975,87986,2021,2243,1826.9659191407263,0.06922978382706164,0.006527402353400269,13,10,9
161936,Pandemic Legacy: Season 1,3,4,Legacy + narrative mystery,shared_culture,8.50433,2.8278,89210,2015,1301,889.672314837575,0.0001088871096877502,0.009544801916237092,59,53,144
174430,Gloomhaven,4,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.5412,3.9179,104327,2017,1546,1060.0515449531376,0.016533467254765736,0.00796656832769037,43,38,16
397598,Dune: Imperium – Uprising,5,19,Recent releases / new-hotness cluster,temporal_artifact,8.70166,3.5241,27702,2023,467,351.9219868257642,0.0,0.02242522070958204,133,124,175
316554,Dune: Imperium,6,16,Unmatched / skirmish series cluster,franchise_series,8.41393,3.0762,77374,2020,1862,1291.868806436658,0.005096877502001601,0.0070036644494530665,27,26,35
233078,Twilight Imperium: Fourth Edition,7,9,Amerithrash / miniatures / LCG,taste_specialist,8.56498,4.3501,33610,2017,322,236.82170633226633,0.0,0.028824714222266543,189,171,175
115746,War of the Ring: Second Edition,8,20,Historical wargames + conflict strategy,taste_specialist,8.5524,4.2231,41301,2011,740,467.1830895021558,0.0004123298638911129,0.012430179678332572,100,100,103
167791,Terraforming Mars,9,0,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,8.33884,3.2704,158835,2016,2480,2247.9217717163265,0.22966773418734987,0.006383745274734956,2,2,1
187645,Star Wars: Rebellion,10,9,Amerithrash / miniatures / LCG,taste_specialist,8.42252,3.753,57178,2016,1143,729.7859638817608,0.00489351481184948,0.009047171781303367,65,64,37
162886,Spirit Island,11,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.3413,4.0747,97109,2017,1937,1458.997916072607,0.03366693354683747,0.007171990055423334,24,20,12
291457,Gloomhaven: Jaws of the Lion,12,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.36267,3.6379,88401,2020,1469,982.7827808111906,0.007807846277021618,0.008254606262202983,45,45,27
220308,Gaia Project,13,2,Current heavy euro engine builders,taste_specialist,8.35275,4.4031,38490,2017,932,728.230782687664,0.0018748465706432882,0.01402133937964887,87,65,67
12333,Twilight Struggle,14,20,Historical wargames + conflict strategy,taste_specialist,8.22934,3.6146,73380,2005,1458,1046.5548845380545,0.08992364232067016,0.008376136488174243,47,39,7
84876,The Castles of Burgundy,15,42,,tiny_fragment,8.16039,2.9714,83890,2011,2056,1373.331116013229,0.01599599679743795,0.006217220272624797,20,23,18
418059,SETI: Search for Extraterrestrial Intelligence,16,2,Current heavy euro engine builders,taste_specialist,8.4175,3.8256,29873,2024,853,609.8899666666985,0.0026778938180604603,0.013005604300084692,93,81,49
338960,Slay the Spire: The Board Game,17,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.65444,2.9029,20564,2024,237,153.31235031038523,0.0,0.032131606258050914,248,258,175
182028,Through the Ages: A New Story of Civilization,18,8,Medium worker-placement euros,taste_specialist,8.2482,4.4414,40111,2015,735,529.3813790380955,0.0,0.015006358397485155,101,94,175
193738,Great Western Trail,19,8,Medium worker-placement euros,taste_specialist,8.15006,3.6934,47020,2016,942,676.6808210909367,0.0,0.012571959667652541,84,69,175
421006,The Lord of the Rings: Duel for Middle-earth,20,19,Recent releases / new-hotness cluster,temporal_artifact,8.35779,2.0759,40092,2024,951,616.7367234379053,8.00640512409928e-07,0.011227194659961245,82,80,171
295770,Frosthaven,21,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.74156,4.4116,24419,2022,218,153.77086468040943,0.0,0.03688825763011102,267,254,175
246900,Eclipse: Second Dawn for the Galaxy,22,5,Area-control crossover / Root-Eclipse cluster,bridge_cluster,8.38985,3.671,21895,2020,246,195.6642596051097,0.0,0.037891184102344974,237,205,175
