dimension,users_with_any,pct_users_with_any,mean_share,median_nonzero_share,users_with_25pct_or_more,users_with_40pct_or_more,dominant_users,dominant_taste_users
bgg_golden_age_canon,4664,0.9100487804878049,0.11201477523906343,0.08450704,558,192,571,1048
current_heavy_euro_engine_builders,4238,0.8269268292682926,0.08990456728120975,0.083333336,350,41,277,1026
dungeon_crawl_cooperative_campaign_adventure,4440,0.8663414634146341,0.08636536740167805,0.06927950499999999,319,87,241,772
amerithrash_miniatures_lcg,4650,0.9073170731707317,0.09446045051545367,0.072164945,387,106,386,724
party_family_social_deduction,4661,0.9094634146341464,0.07731236311557074,0.071428575,102,7,78,486
puzzle_nature_tableau_builders,4202,0.8199024390243902,0.06031937717336586,0.0601298335,56,2,15,395
historical_wargames_conflict_strategy,3782,0.7379512195121951,0.058450863477248774,0.040816326,235,90,233,334
medium_worker_placement_euros,4166,0.8128780487804877,0.061071579225502444,0.057496695,87,5,96,216
cooperative_trick_taking_deduction,4193,0.8181463414634146,0.04389937562782439,0.042857144,10,0,6,109
roll_and_write_number_dice_games,3046,0.5943414634146341,0.015270622457190243,0.019472619500000003,1,0,0,11
legacy_narrative_mystery,3047,0.5945365853658536,0.015189915344107316,0.018796992,2,0,1,4
