archetype,n_users,pct_eligible_users,median_selected_owned,mean_selected_owned,mean_included_share,median_included_share,mean_entropy,median_entropy,mean_dominant_share,median_dominant_share,most_common_dominant_dimension,most_common_taste_dimension
other_dominant_mixed,3018,0.5888780487804878,102.0,134.54903909874088,0.6661010635255136,0.6716418,0.7746101560636183,0.7842739999999999,0.3338989360072896,0.3283582,other,current_heavy_euro_engine_builders
generalist,723,0.1410731707317073,134.0,173.21438450899032,0.8131599495988934,0.81182796,0.8092156182572614,0.804843,0.2581578643706777,0.2555066,bgg_golden_age_canon,bgg_golden_age_canon
other_dominant_low_coverage,203,0.039609756097560976,41.0,49.714285714285715,0.4300586255172414,0.44117647,0.5610795320197045,0.573051,0.5699413740394089,0.5588235,other,current_heavy_euro_engine_builders
specialist__bgg_golden_age_canon,190,0.037073170731707315,73.0,104.19473684210526,0.8813400754736842,0.8849306299999999,0.5720205789473684,0.584646,0.5253738550526316,0.49370447,bgg_golden_age_canon,bgg_golden_age_canon
leaning__bgg_golden_age_canon,161,0.031414634146341464,89.0,117.59006211180125,0.8239541057142858,0.8271605,0.695464745341615,0.700222,0.34036496881987577,0.3482143,bgg_golden_age_canon,bgg_golden_age_canon
leaning__amerithrash_miniatures_lcg,141,0.02751219512195122,52.0,67.48226950354609,0.7961516425531915,0.79591835,0.6815176879432624,0.694574,0.3243766187943262,0.32394367,amerithrash_miniatures_lcg,amerithrash_miniatures_lcg
specialist__amerithrash_miniatures_lcg,105,0.02048780487804878,34.0,49.857142857142854,0.8687921252380951,0.8787879,0.5391221142857143,0.553945,0.5126135267619047,0.48387095,amerithrash_miniatures_lcg,amerithrash_miniatures_lcg
leaning__dungeon_crawl_cooperative_campaign_adventure,100,0.01951219512195122,61.5,76.65,0.7746192947999999,0.771520175,0.69334284,0.701343,0.3373872781,0.34445681,dungeon_crawl_cooperative_campaign_adventure,dungeon_crawl_cooperative_campaign_adventure
leaning__current_heavy_euro_engine_builders,99,0.019317073170731707,74.0,93.68686868686869,0.7566064098989899,0.75,0.6919124343434343,0.707457,0.33974375696969694,0.3469388,current_heavy_euro_engine_builders,current_heavy_euro_engine_builders
specialist__historical_wargames_conflict_strategy,89,0.017365853658536587,43.0,55.235955056179776,0.9023338671910113,0.9090909,0.4910033370786517,0.524371,0.574949547752809,0.5,historical_wargames_conflict_strategy,historical_wargames_conflict_strategy
specialist__dungeon_crawl_cooperative_campaign_adventure,85,0.016585365853658537,35.0,50.63529411764706,0.822482036,0.81666666,0.5295446,0.536749,0.5237318684705883,0.4857143,dungeon_crawl_cooperative_campaign_adventure,dungeon_crawl_cooperative_campaign_adventure
leaning__historical_wargames_conflict_strategy,60,0.011707317073170732,76.5,95.76666666666667,0.8309126526666667,0.8319209000000001,0.6939593166666668,0.7050004999999999,0.3442615685,0.3492671,historical_wargames_conflict_strategy,historical_wargames_conflict_strategy
specialist__current_heavy_euro_engine_builders,41,0.008,80.0,89.0,0.78966072,0.78947365,0.6025526585365854,0.613897,0.4776668390243902,0.46285716,current_heavy_euro_engine_builders,current_heavy_euro_engine_builders
leaning__medium_worker_placement_euros,33,0.006439024390243902,61.0,67.51515151515152,0.8120220245454545,0.8181818,0.703977303030303,0.717788,0.31384112515151513,0.30120483,medium_worker_placement_euros,medium_worker_placement_euros
leaning__party_family_social_deduction,30,0.005853658536585366,56.0,64.46666666666667,0.7665481636666667,0.7619048,0.6757865666666666,0.7050194999999999,0.31851155466666664,0.323558315,party_family_social_deduction,party_family_social_deduction
mixed__amerithrash_miniatures_lcg,7,0.0013658536585365853,29.0,31.285714285714285,0.8133957571428571,0.8,0.7181338571428572,0.731368,0.22105730428571427,0.22580644,amerithrash_miniatures_lcg,amerithrash_miniatures_lcg
specialist__party_family_social_deduction,7,0.0013658536585365853,28.0,30.285714285714285,0.7413377128571429,0.71428573,0.5544477142857143,0.539425,0.45547996857142853,0.45833334,party_family_social_deduction,party_family_social_deduction
leaning__puzzle_nature_tableau_builders,6,0.0011707317073170731,28.5,49.666666666666664,0.7220401133333333,0.741666675,0.65943,0.691435,0.3213213283333333,0.320585995,puzzle_nature_tableau_builders,puzzle_nature_tableau_builders
mixed__bgg_golden_age_canon,6,0.0011707317073170731,39.0,73.0,0.831140345,0.832417585,0.7145856666666667,0.7324999999999999,0.23276665333333332,0.233362145,bgg_golden_age_canon,bgg_golden_age_canon
specialist__medium_worker_placement_euros,5,0.000975609756097561,39.0,35.6,0.8405625560000001,0.84615386,0.6199336,0.608204,0.460692594,0.4509804,medium_worker_placement_euros,medium_worker_placement_euros
mixed__historical_wargames_conflict_strategy,4,0.0007804878048780488,97.0,91.0,0.84630345,0.86515155,0.73136825,0.729373,0.2287675875,0.23030303000000002,historical_wargames_conflict_strategy,historical_wargames_conflict_strategy
leaning__cooperative_trick_taking_deduction,3,0.0005853658536585366,29.0,37.666666666666664,0.7183908,0.75,0.6526733333333333,0.634427,0.32695234,0.32352942,cooperative_trick_taking_deduction,cooperative_trick_taking_deduction
mixed__dungeon_crawl_cooperative_campaign_adventure,2,0.0003902439024390244,103.5,103.5,0.8127922000000001,0.8127922000000001,0.7072879999999999,0.7072879999999999,0.22864427999999998,0.22864427999999998,dungeon_crawl_cooperative_campaign_adventure,dungeon_crawl_cooperative_campaign_adventure
mixed__medium_worker_placement_euros,2,0.0003902439024390244,73.0,73.0,0.81884055,0.81884055,0.7266515,0.7266515,0.22141707,0.22141707,medium_worker_placement_euros,medium_worker_placement_euros
specialist__puzzle_nature_tableau_builders,2,0.0003902439024390244,27.5,27.5,0.65120968,0.65120968,0.5119125,0.5119125,0.43413978,0.43413978,puzzle_nature_tableau_builders,puzzle_nature_tableau_builders
leaning__legacy_narrative_mystery,1,0.0001951219512195122,37.0,37.0,0.7837838,0.7837838,0.719909,0.719909,0.27027026,0.27027026,legacy_narrative_mystery,legacy_narrative_mystery
mixed__party_family_social_deduction,1,0.0001951219512195122,124.0,124.0,0.8145161,0.8145161,0.734602,0.734602,0.21774194,0.21774194,party_family_social_deduction,party_family_social_deduction
mixed__puzzle_nature_tableau_builders,1,0.0001951219512195122,54.0,54.0,0.7592592,0.7592592,0.703808,0.703808,0.24074075,0.24074075,puzzle_nature_tableau_builders,puzzle_nature_tableau_builders
