archetype,archetype_n_users,within_archetype_rank,bgg_id,name,overall_rank,owner_count_in_archetype,owner_share_in_archetype,profile_dimension,manual_label,community_type,community
generalist,723,1,178900,Codenames,161,336,0.46473029045643155,other,Escape-room / Unlock series cluster,franchise_series,37
generalist,723,2,167791,Terraforming Mars,9,331,0.4578146611341632,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,0
generalist,723,3,822,Carcassonne,239,314,0.4343015214384509,other,Racing / sports / route bridge,bridge_cluster,38
generalist,723,4,30549,Pandemic,170,308,0.4260027662517289,other,Pandemic system cluster,franchise_series,26
generalist,723,5,2651,Power Grid,74,302,0.41770401106500693,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
generalist,723,6,173346,7 Wonders Duel,24,301,0.41632088520055327,other,,tiny_fragment,33
generalist,723,7,230802,Azul,96,300,0.4149377593360996,other,Abstract tile-placement puzzle bridge,bridge_cluster,14
generalist,723,8,3076,Puerto Rico,55,298,0.41217150760719223,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
generalist,723,9,12333,Twilight Struggle,14,295,0.40802213001383125,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
generalist,723,10,84876,The Castles of Burgundy,15,290,0.40110650069156295,other,,tiny_fragment,42
generalist,723,11,163412,Patchwork,146,283,0.3914246196403873,other,Railroad Ink / spatial puzzle cluster,franchise_series,31
generalist,723,12,13,Catan,615,283,0.3914246196403873,other,KeyForge / Catan gateway-franchise cluster,franchise_series,11
generalist,723,13,129622,Love Letter,366,281,0.38865836791147995,other,Take-that card/fandom cluster,franchise_series,39
generalist,723,14,31260,Agricola,64,275,0.38035961272475793,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
generalist,723,15,68448,7 Wonders,116,271,0.3748271092669433,other,,tiny_fragment,30
generalist,723,16,224517,Brass: Birmingham,1,268,0.3706777316735823,other,,tiny_fragment,7
generalist,723,17,169786,Scythe,26,261,0.36099585062240663,other,Thematic sandbox worker-placement bridge,bridge_cluster,3
generalist,723,18,126163,Tzolk'in: The Mayan Calendar,73,261,0.36099585062240663,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
generalist,723,19,284083,The Crew: The Quest for Planet Nine,92,259,0.3582295988934993,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,4
generalist,723,20,28143,Race for the Galaxy,93,258,0.35684647302904565,other,Race for the Galaxy system cluster,franchise_series,27
leaning__amerithrash_miniatures_lcg,141,1,70323,King of Tokyo,489,51,0.3617021276595745,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,2,187645,Star Wars: Rebellion,10,49,0.3475177304964539,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,3,30549,Pandemic,170,49,0.3475177304964539,other,Pandemic system cluster,franchise_series,26
leaning__amerithrash_miniatures_lcg,141,4,68448,7 Wonders,116,48,0.3404255319148936,other,,tiny_fragment,30
leaning__amerithrash_miniatures_lcg,141,5,150376,Dead of Winter: A Crossroads Game,251,47,0.3333333333333333,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,6,822,Carcassonne,239,46,0.3262411347517731,other,Racing / sports / route bridge,bridge_cluster,38
leaning__amerithrash_miniatures_lcg,141,7,167791,Terraforming Mars,9,46,0.3262411347517731,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,0
leaning__amerithrash_miniatures_lcg,141,8,146021,Eldritch Horror,137,45,0.3191489361702128,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,9,129622,Love Letter,366,44,0.3120567375886525,other,Take-that card/fandom cluster,franchise_series,39
leaning__amerithrash_miniatures_lcg,141,10,205059,Mansions of Madness: Second Edition,75,43,0.3049645390070922,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,11,103885,Star Wars: X-Wing Miniatures Game,203,40,0.28368794326241137,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,12,124742,Android: Netrunner,82,40,0.28368794326241137,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,13,164153,Star Wars: Imperial Assault,83,40,0.28368794326241137,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,14,169786,Scythe,26,39,0.2765957446808511,other,Thematic sandbox worker-placement bridge,bridge_cluster,3
leaning__amerithrash_miniatures_lcg,141,15,36218,Dominion,145,39,0.2765957446808511,other,Deck-manipulation / engine gateway cluster,bridge_cluster,15
leaning__amerithrash_miniatures_lcg,141,16,174430,Gloomhaven,4,39,0.2765957446808511,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__amerithrash_miniatures_lcg,141,17,96848,Mage Knight Board Game,39,38,0.2695035460992908,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,18,40692,Small World,404,38,0.2695035460992908,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,19,170216,Blood Rage,65,38,0.2695035460992908,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__amerithrash_miniatures_lcg,141,20,205637,Arkham Horror: The Card Game,32,38,0.2695035460992908,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,12
leaning__bgg_golden_age_canon,161,1,822,Carcassonne,239,100,0.6211180124223602,other,Racing / sports / route bridge,bridge_cluster,38
leaning__bgg_golden_age_canon,161,2,13,Catan,615,85,0.5279503105590062,other,KeyForge / Catan gateway-franchise cluster,franchise_series,11
leaning__bgg_golden_age_canon,161,3,31260,Agricola,64,82,0.5093167701863354,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,4,36218,Dominion,145,81,0.5031055900621118,other,Deck-manipulation / engine gateway cluster,bridge_cluster,15
leaning__bgg_golden_age_canon,161,5,2651,Power Grid,74,80,0.4968944099378882,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,6,3076,Puerto Rico,55,79,0.4906832298136646,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,7,28143,Race for the Galaxy,93,72,0.4472049689440994,other,Race for the Galaxy system cluster,franchise_series,27
leaning__bgg_golden_age_canon,161,8,68448,7 Wonders,116,69,0.42857142857142855,other,,tiny_fragment,30
leaning__bgg_golden_age_canon,161,9,11,Bohnanza,544,68,0.422360248447205,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,10,42,Tigris & Euphrates,131,65,0.40372670807453415,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,11,84876,The Castles of Burgundy,15,64,0.39751552795031053,other,,tiny_fragment,42
leaning__bgg_golden_age_canon,161,12,9209,Ticket to Ride,256,62,0.38509316770186336,other,Mass-market gateway / family strategy bridge,bridge_cluster,18
leaning__bgg_golden_age_canon,161,13,178900,Codenames,161,59,0.36645962732919257,other,Escape-room / Unlock series cluster,franchise_series,37
leaning__bgg_golden_age_canon,161,14,478,Citadels,584,59,0.36645962732919257,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,15,129622,Love Letter,366,57,0.35403726708074534,other,Take-that card/fandom cluster,franchise_series,39
leaning__bgg_golden_age_canon,161,16,54,Tikal,378,57,0.35403726708074534,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,17,40692,Small World,404,57,0.35403726708074534,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,9
leaning__bgg_golden_age_canon,161,18,35677,Le Havre,80,57,0.35403726708074534,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__bgg_golden_age_canon,161,19,118,Modern Art,221,57,0.35403726708074534,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__bgg_golden_age_canon,161,20,12,Ra,115,56,0.34782608695652173,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__current_heavy_euro_engine_builders,99,1,167791,Terraforming Mars,9,53,0.5353535353535354,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,0
leaning__current_heavy_euro_engine_builders,99,2,342942,Ark Nova,2,50,0.5050505050505051,other,Ark Nova universal-appeal micro-cluster,bridge_singleton,24
leaning__current_heavy_euro_engine_builders,99,3,247763,Underwater Cities,50,49,0.494949494949495,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,4,184267,On Mars,58,47,0.47474747474747475,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,5,224517,Brass: Birmingham,1,46,0.46464646464646464,other,,tiny_fragment,7
leaning__current_heavy_euro_engine_builders,99,6,396790,Nucleum,143,44,0.4444444444444444,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,7,308765,Praga Caput Regni,192,44,0.4444444444444444,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,8,220308,Gaia Project,13,43,0.43434343434343436,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,9,182874,Grand Austria Hotel,67,43,0.43434343434343436,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,10,169786,Scythe,26,42,0.42424242424242425,other,Thematic sandbox worker-placement bridge,bridge_cluster,3
leaning__current_heavy_euro_engine_builders,99,11,125153,The Gallerist,81,41,0.41414141414141414,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,12,284378,Kanban EV,45,40,0.40404040404040403,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,13,229853,Teotihuacan: City of Gods,109,40,0.40404040404040403,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,14,173346,7 Wonders Duel,24,40,0.40404040404040403,other,,tiny_fragment,33
leaning__current_heavy_euro_engine_builders,99,15,310873,Carnegie,127,40,0.40404040404040403,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,16,185343,Anachrony,61,40,0.40404040404040403,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,17,161533,Lisboa,69,39,0.3939393939393939,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
leaning__current_heavy_euro_engine_builders,99,18,371942,The White Castle,72,39,0.3939393939393939,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,2
