bgg_id,name,overall_rank,community,profile_dimension,manual_label,community_type,include_in_user_profiles
224517,Brass: Birmingham,1,7,other,,tiny_fragment,no
342942,Ark Nova,2,24,other,Ark Nova universal-appeal micro-cluster,bridge_singleton,no
161936,Pandemic Legacy: Season 1,3,4,legacy_narrative_mystery,Legacy + narrative mystery,shared_culture,yes
174430,Gloomhaven,4,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
397598,Dune: Imperium – Uprising,5,19,other,Recent releases / new-hotness cluster,temporal_artifact,no
316554,Dune: Imperium,6,16,other,Unmatched / skirmish series cluster,franchise_series,no
233078,Twilight Imperium: Fourth Edition,7,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
115746,War of the Ring: Second Edition,8,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
167791,Terraforming Mars,9,0,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,no
187645,Star Wars: Rebellion,10,9,amerithrash_miniatures_lcg,Amerithrash / miniatures / LCG,taste_specialist,yes
162886,Spirit Island,11,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
291457,Gloomhaven: Jaws of the Lion,12,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
220308,Gaia Project,13,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
12333,Twilight Struggle,14,20,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,yes
84876,The Castles of Burgundy,15,42,other,,tiny_fragment,no
418059,SETI: Search for Extraterrestrial Intelligence,16,2,current_heavy_euro_engine_builders,Current heavy euro engine builders,taste_specialist,yes
338960,Slay the Spire: The Board Game,17,12,dungeon_crawl_cooperative_campaign_adventure,Dungeon crawl / cooperative campaign adventure,taste_specialist,yes
182028,Through the Ages: A New Story of Civilization,18,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
193738,Great Western Trail,19,8,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,yes
