username,row,total_selected_owned,other_owned_count,included_share,dominant_taste_dimension,dominant_taste_share,top_other_community_type,top_other_community_type_count,top_other_community_type_share,top_other_manual_label,top_other_manual_label_count,top_other_manual_label_share
Kaibo44,1200,342,150,0.5614035,current_heavy_euro_engine_builders,0.19298245,temporal_artifact,116,0.7733333333333333,Recent releases / new-hotness cluster,116,0.7733333333333333
Viniciuszen,48,1476,338,0.7710027,bgg_golden_age_canon,0.15785907,temporal_artifact,110,0.3254437869822485,Recent releases / new-hotness cluster,110,0.3254437869822485
Anth_Grant,999,429,159,0.6293706,puzzle_nature_tableau_builders,0.22144522,temporal_artifact,97,0.610062893081761,Recent releases / new-hotness cluster,97,0.610062893081761
Inschebinsche,242,383,140,0.63446474,puzzle_nature_tableau_builders,0.18015666,temporal_artifact,91,0.65,Recent releases / new-hotness cluster,91,0.65
socialsnacker,3367,559,147,0.7370304,current_heavy_euro_engine_builders,0.1627907,temporal_artifact,90,0.6122448979591837,Recent releases / new-hotness cluster,90,0.6122448979591837
daleygamer,4166,592,211,0.6435811,bgg_golden_age_canon,0.1266892,temporal_artifact,89,0.4218009478672986,Recent releases / new-hotness cluster,89,0.4218009478672986
Got1000,5036,998,246,0.753507,current_heavy_euro_engine_builders,0.11523046,temporal_artifact,87,0.35365853658536583,Recent releases / new-hotness cluster,87,0.35365853658536583
GarfieldKlon,338,460,170,0.63043475,party_family_social_deduction,0.09565217,temporal_artifact,87,0.5117647058823529,Recent releases / new-hotness cluster,87,0.5117647058823529
lou_mein,767,364,142,0.6098901,current_heavy_euro_engine_builders,0.14835165,temporal_artifact,86,0.6056338028169014,Recent releases / new-hotness cluster,86,0.6056338028169014
dziadekjoe,2073,1023,257,0.7487781,bgg_golden_age_canon,0.16422288,temporal_artifact,84,0.32684824902723736,Recent releases / new-hotness cluster,84,0.32684824902723736
DeviantMagick,317,1069,223,0.7913938,bgg_golden_age_canon,0.17212348,bridge_cluster,84,0.37668161434977576,Recent releases / new-hotness cluster,33,0.14798206278026907
ameestevens,992,529,175,0.6691872,puzzle_nature_tableau_builders,0.17202269,temporal_artifact,83,0.4742857142857143,Recent releases / new-hotness cluster,83,0.4742857142857143
JensG,1190,549,205,0.6265938,dungeon_crawl_cooperative_campaign_adventure,0.140255,temporal_artifact,82,0.4,Recent releases / new-hotness cluster,82,0.4
