username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions,eligible_for_archetype,dominant_taste_dimension,dominant_taste_share,archetype,archetype_family
Eternal_BB,0,101,10,2,3,11,2,7,6,6,6,1,1,46,0.0990099,0.01980198,0.02970297,0.10891089,0.01980198,0.06930693,0.05940594,0.05940594,0.05940594,0.00990099,0.00990099,0.45544556,other,0.45544556,0.5445545,0.751729,12,True,current_heavy_euro_engine_builders,0.10891089,other_dominant_mixed,other_dominant
JPder,1,29,2,6,4,1,4,6,0,0,2,0,0,4,0.06896552,0.20689656,0.13793103,0.03448276,0.13793103,0.20689656,0.0,0.0,0.06896552,0.0,0.0,0.13793103,amerithrash_miniatures_lcg,0.20689656,0.86206895,0.787407,8,True,amerithrash_miniatures_lcg,0.20689656,generalist,generalist
tinybugprincess,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dungeon_crawl_cooperative_campaign_adventure,1.0,1.0,0.0,1,False,dungeon_crawl_cooperative_campaign_adventure,1.0,insufficient_selected_owned,insufficient_selected_owned
scottcoody,3,218,49,7,0,0,3,71,13,2,17,13,3,40,0.22477064,0.03211009,0.0,0.0,0.013761468,0.32568806,0.059633028,0.0091743115,0.07798165,0.059633028,0.013761468,0.18348624,party_family_social_deduction,0.32568806,0.8165138,0.731873,10,True,party_family_social_deduction,0.32568806,leaning__party_family_social_deduction,leaning
JuliaBenova,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,other,1.0,0.0,0.0,1,False,,0.0,insufficient_selected_owned,insufficient_selected_owned
vkd_castle,5,37,10,4,1,3,0,4,0,4,0,0,1,10,0.27027026,0.10810811,0.027027028,0.08108108,0.0,0.10810811,0.0,0.10810811,0.0,0.0,0.027027028,0.27027026,bgg_golden_age_canon,0.27027026,0.7297298,0.735477,8,True,bgg_golden_age_canon,0.27027026,leaning__bgg_golden_age_canon,leaning
gbmorris,6,138,13,4,4,20,0,10,15,14,10,10,2,36,0.0942029,0.028985508,0.028985508,0.14492753,0.0,0.072463766,0.10869565,0.10144927,0.072463766,0.072463766,0.014492754,0.26086956,other,0.26086956,0.73913044,0.870687,11,True,current_heavy_euro_engine_builders,0.14492753,other_dominant_mixed,other_dominant
oberjt,7,316,41,21,17,63,6,12,18,26,14,10,2,86,0.12974684,0.0664557,0.05379747,0.19936709,0.01898734,0.03797468,0.056962024,0.08227848,0.044303797,0.03164557,0.006329114,0.2721519,other,0.2721519,0.7278481,0.85542,12,True,current_heavy_euro_engine_builders,0.19936709,other_dominant_mixed,other_dominant
tylermv07,8,279,26,14,19,56,5,7,10,22,27,2,0,91,0.09318996,0.050179213,0.068100356,0.20071685,0.017921148,0.025089607,0.035842296,0.07885305,0.09677419,0.007168459,0.0,0.32616487,other,0.32616487,0.67383516,0.79985,11,True,current_heavy_euro_engine_builders,0.20071685,other_dominant_mixed,other_dominant
Jobul_is_happy,9,25,0,1,3,2,1,0,1,4,0,0,0,13,0.0,0.04,0.12,0.08,0.04,0.0,0.04,0.16,0.0,0.0,0.0,0.52,other,0.52,0.48000002,0.59399,7,True,medium_worker_placement_euros,0.16,other_dominant_low_coverage,other_dominant
DanZDK,10,25,0,4,13,0,0,0,0,0,3,0,1,4,0.0,0.16,0.52,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.16,dungeon_crawl_cooperative_campaign_adventure,0.52,0.84000003,0.527044,5,True,dungeon_crawl_cooperative_campaign_adventure,0.52,specialist__dungeon_crawl_cooperative_campaign_adventure,specialist
joven11,11,7,1,1,0,1,0,0,0,2,0,0,0,2,0.14285715,0.14285715,0.0,0.14285715,0.0,0.0,0.0,0.2857143,0.0,0.0,0.0,0.2857143,medium_worker_placement_euros,0.2857143,0.71428573,0.623696,5,False,medium_worker_placement_euros,0.2857143,insufficient_selected_owned,insufficient_selected_owned
penguinkim37,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,other,1.0,0.0,0.0,1,False,,0.0,insufficient_selected_owned,insufficient_selected_owned
