username,row,total_selected_owned,count__bgg_golden_age_canon,count__amerithrash_miniatures_lcg,count__dungeon_crawl_cooperative_campaign_adventure,count__current_heavy_euro_engine_builders,count__historical_wargames_conflict_strategy,count__party_family_social_deduction,count__puzzle_nature_tableau_builders,count__medium_worker_placement_euros,count__cooperative_trick_taking_deduction,count__roll_and_write_number_dice_games,count__legacy_narrative_mystery,count__other,share__bgg_golden_age_canon,share__amerithrash_miniatures_lcg,share__dungeon_crawl_cooperative_campaign_adventure,share__current_heavy_euro_engine_builders,share__historical_wargames_conflict_strategy,share__party_family_social_deduction,share__puzzle_nature_tableau_builders,share__medium_worker_placement_euros,share__cooperative_trick_taking_deduction,share__roll_and_write_number_dice_games,share__legacy_narrative_mystery,share__other,dominant_dimension,dominant_share,included_share,profile_entropy_norm,n_active_dimensions
Eternal_BB,0,101,10,2,3,11,2,7,6,6,6,1,1,46,0.0990099,0.01980198,0.02970297,0.10891089,0.01980198,0.06930693,0.05940594,0.05940594,0.05940594,0.00990099,0.00990099,0.45544556,other,0.45544556,0.5445545,0.7517285348102384,12
JPder,1,29,2,6,4,1,4,6,0,0,2,0,0,4,0.06896552,0.20689656,0.13793103,0.03448276,0.13793103,0.20689656,0.0,0.0,0.06896552,0.0,0.0,0.13793103,amerithrash_miniatures_lcg,0.20689656,0.86206895,0.7874068888272613,8
tinybugprincess,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dungeon_crawl_cooperative_campaign_adventure,1.0,1.0,-0.0,1
scottcoody,3,218,49,7,0,0,3,71,13,2,17,13,3,40,0.22477064,0.03211009,0.0,0.0,0.013761468,0.32568806,0.059633028,0.0091743115,0.07798165,0.059633028,0.013761468,0.18348624,party_family_social_deduction,0.32568806,0.8165138,0.7318729420708479,10
JuliaBenova,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,other,1.0,0.0,-0.0,1
vkd_castle,5,37,10,4,1,3,0,4,0,4,0,0,1,10,0.27027026,0.10810811,0.027027028,0.08108108,0.0,0.10810811,0.0,0.10810811,0.0,0.0,0.027027028,0.27027026,bgg_golden_age_canon,0.27027026,0.7297298,0.7354769877550413,8
gbmorris,6,138,13,4,4,20,0,10,15,14,10,10,2,36,0.0942029,0.028985508,0.028985508,0.14492753,0.0,0.072463766,0.10869565,0.10144927,0.072463766,0.072463766,0.014492754,0.26086956,other,0.26086956,0.73913044,0.8706873723159603,11
oberjt,7,316,41,21,17,63,6,12,18,26,14,10,2,86,0.12974684,0.0664557,0.05379747,0.19936709,0.01898734,0.03797468,0.056962024,0.08227848,0.044303797,0.03164557,0.006329114,0.2721519,other,0.2721519,0.7278481,0.8554195667191141,12
tylermv07,8,279,26,14,19,56,5,7,10,22,27,2,0,91,0.09318996,0.050179213,0.068100356,0.20071685,0.017921148,0.025089607,0.035842296,0.07885305,0.09677419,0.007168459,0.0,0.32616487,other,0.32616487,0.67383516,0.7998502156324431,11
Jobul_is_happy,9,25,0,1,3,2,1,0,1,4,0,0,0,13,0.0,0.04,0.12,0.08,0.04,0.0,0.04,0.16,0.0,0.0,0.0,0.52,other,0.52,0.48000002,0.5939901062556446,7
DanZDK,10,25,0,4,13,0,0,0,0,0,3,0,1,4,0.0,0.16,0.52,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.16,dungeon_crawl_cooperative_campaign_adventure,0.52,0.84000003,0.5270436839793826,5
joven11,11,7,1,1,0,1,0,0,0,2,0,0,0,2,0.14285715,0.14285715,0.0,0.14285715,0.0,0.0,0.0,0.2857143,0.0,0.0,0.0,0.2857143,medium_worker_placement_euros,0.2857143,0.71428573,0.6236959224622552,5
penguinkim37,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,other,1.0,0.0,-0.0,1
datefruit,13,28,7,1,0,1,0,4,1,0,5,1,1,7,0.25,0.035714287,0.0,0.035714287,0.0,0.14285715,0.035714287,0.0,0.17857143,0.035714287,0.035714287,0.25,bgg_golden_age_canon,0.25,0.75,0.7540757747436331,9
jsect,14,59,13,14,0,0,12,2,0,11,0,1,0,6,0.22033899,0.23728813,0.0,0.0,0.20338982,0.033898305,0.0,0.18644068,0.0,0.016949153,0.0,0.10169491,amerithrash_miniatures_lcg,0.23728813,0.89830506,0.6953914182744574,7
Scythius1,15,24,0,0,4,2,1,0,1,2,2,1,2,9,0.0,0.0,0.16666667,0.083333336,0.041666668,0.0,0.041666668,0.083333336,0.083333336,0.041666668,0.083333336,0.375,other,0.375,0.625,0.7613954041443357,9
aircastle,16,274,25,53,15,16,25,18,5,37,5,2,4,69,0.091240875,0.19343066,0.054744527,0.05839416,0.091240875,0.06569343,0.018248174,0.1350365,0.018248174,0.00729927,0.01459854,0.25182483,other,0.25182483,0.74817514,0.8530858552696389,12
Biscotti,17,72,24,3,0,0,25,3,0,4,1,0,0,12,0.33333334,0.041666668,0.0,0.0,0.3472222,0.041666668,0.0,0.055555556,0.013888889,0.0,0.0,0.16666667,historical_wargames_conflict_strategy,0.3472222,0.8333333,0.6104580610802077,7
dontnickme,18,14,0,3,4,1,0,3,0,0,0,0,0,3,0.0,0.21428572,0.2857143,0.071428575,0.0,0.21428572,0.0,0.0,0.0,0.0,0.0,0.21428572,dungeon_crawl_cooperative_campaign_adventure,0.2857143,0.78571427,0.6184226441611048,5
Lord_Baer,19,71,15,14,6,1,7,5,0,11,1,0,3,8,0.2112676,0.1971831,0.08450704,0.014084507,0.09859155,0.07042254,0.0,0.15492958,0.014084507,0.0,0.04225352,0.112676054,bgg_golden_age_canon,0.2112676,0.887324,0.8295456216227043,10
x_AMK_x,20,266,36,42,15,26,23,10,9,61,5,1,2,36,0.13533835,0.15789473,0.05639098,0.09774436,0.08646616,0.037593983,0.033834588,0.22932331,0.018796992,0.0037593986,0.007518797,0.13533835,medium_worker_placement_euros,0.22932331,0.86466163,0.8620000707590046,12
ultimoratio,21,59,15,4,1,0,19,4,0,1,5,0,0,10,0.2542373,0.06779661,0.016949153,0.0,0.3220339,0.06779661,0.0,0.016949153,0.084745765,0.0,0.0,0.16949153,historical_wargames_conflict_strategy,0.3220339,0.8305085,0.6946769032407757,8
jrhameister,22,74,9,11,4,3,2,6,4,10,1,0,1,23,0.12162162,0.14864865,0.054054055,0.04054054,0.027027028,0.08108108,0.054054055,0.13513513,0.013513514,0.0,0.013513514,0.3108108,other,0.3108108,0.6891892,0.8194537564054737,11
scrooks,23,62,3,2,2,0,1,10,15,0,7,0,1,21,0.048387095,0.032258064,0.032258064,0.0,0.016129032,0.16129032,0.24193548,0.0,0.11290322,0.0,0.016129032,0.33870968,other,0.33870968,0.6612903,0.7049719835568834,9
milkcalsium,24,10,0,0,0,2,0,0,1,2,1,0,1,3,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.3,other,0.3,0.7,0.6824169785420638,6
multiks2389,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dungeon_crawl_cooperative_campaign_adventure,1.0,1.0,-0.0,1
radekebr,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_heavy_euro_engine_builders,1.0,1.0,-0.0,1
m_cichosz,27,72,4,4,5,3,6,6,6,1,5,0,1,31,0.055555556,0.055555556,0.06944445,0.041666668,0.083333336,0.083333336,0.083333336,0.013888889,0.06944445,0.0,0.013888889,0.43055555,other,0.43055555,0.5694444,0.775426600769568,11
ionas,28,142,24,34,13,3,8,22,0,1,4,1,4,28,0.16901408,0.23943663,0.09154929,0.02112676,0.056338027,0.15492958,0.0,0.0070422534,0.028169014,0.0070422534,0.028169014,0.1971831,amerithrash_miniatures_lcg,0.23943663,0.80281687,0.7988714154288571,11
Adjet76,29,21,0,1,0,5,2,3,0,0,2,2,3,3,0.0,0.04761905,0.0,0.23809524,0.0952381,0.14285715,0.0,0.0,0.0952381,0.0952381,0.14285715,0.14285715,current_heavy_euro_engine_builders,0.23809524,0.85714287,0.8018197134297287,8
